Density;Diameter;Radius;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Girth;Group Size;Domination number;Independence number;Chromatic index
0.08571;5;5;5.744;2.454;-2.744;0.546;7;1;10;16;3
0.08571;5;5;5.744;2.454;-2.744;0.546;7;1;10;16;3
0.08571;5;4;5.745;2.452;-2.745;0.548;7;1;10;16;3
0.08751;5;4;5.745;2.452;-2.745;0.548;7;1;10;16;3
0.08571;5;5;5.735;2.454;-2.735;0.546;7;1;10;16;3
0.08571;5;4;5.732;2.452;-2.732;0.548;7;1;10;16;3
0.08571;5;4;5.732;2.452;-2.732;0.548;7;1;10;16;3
0.08571;5;5;5.753;2.437;-2.753;0.563;7;1;10;16;3
0.08571;5;5;5.733;2.456;-2.733;0.544;7;1;10;16;3
0.08571;6;4;5.799;2.439;-2.799;0.561;7;1;10;16;3
0.08571;5;4;5.753;2.437;-2.753;0.563;7;1;10;16;3
0.08571;5;4;5.799;2.437;-2.799;0.563;7;1;10;16;3
0.08571;6;5;5.789;2.453;-2.789;0.547;7;1;10;16;3
0.08571;5;5;5.741;2.453;-2.741;0.547;7;1;10;16;3
0.08571;5;5;5.799;2.439;-2.799;0.561;7;1;10;16;3
0.08571;5;4;5.799;2.437;-2.799;0.563;7;1;10;16;3
0.08571;5;5;5.727;2.453;-2.727;0.547;7;1;10;16;3
0.08571;5;4;5.73;2.453;-2.73;0.547;7;1;10;16;3
0.08571;5;5;5.734;2.452;-2.734;0.548;7;1;10;16;3
0.08571;5;4;5.73;2.453;-2.73;0.547;7;1;10;16;3
0.08571;5;5;5.726;2.453;-2.726;0.547;7;1;10;16;3
0.08571;5;4;5.73;2.452;-2.73;0.548;7;1;10;16;3
0.08571;5;4;5.727;2.453;-2.727;0.547;7;1;10;16;3
0.08751;5;4;5.727;2.452;-2.727;0.548;7;1;10;16;3
0.08571;5;4;5.73;2.452;-2.73;0.548;7;1;10;16;3
0.08571;5;5;5.757;2.438;-2.757;0.562;7;1;10;16;3
0.08751;5;5;5.757;2.439;-2.757;0.561;7;1;10;16;3
0.08571;5;5;5.752;2.437;-2.752;0.563;7;1;10;16;3
0.08571;5;5;5.75;2.437;-2.75;0.563;7;1;10;16;3
0.08571;5;5;5.758;2.437;-2.758;0.563;7;1;10;16;3
0.08571;5;5;5.752;2.439;-2.752;0.561;7;1;10;16;3
0.08571;5;5;5.752;2.438;-2.752;0.562;7;1;10;16;3
0.08571;6;4;5.758;2.439;-2.758;0.561;7;1;10;16;3
0.08571;6;5;5.78;2.439;-2.78;0.561;7;1;10;16;3
0.08571;5;5;5.78;2.438;-2.78;0.562;7;1;10;16;3
0.08571;6;5;5.754;2.438;-2.754;0.562;7;1;10;16;3
0.08571;5;5;5.784;2.453;-2.784;0.547;7;1;10;16;3
0.08571;5;4;5.733;2.452;-2.732;0.548;7;1;10;16;3
0.08571;5;5;5.75;2.437;-2.75;0.563;7;1;10;16;3
0.08571;6;5;5.67539;2.74255;-2.67539;0.2575;7;1;10;15;3
0.08571;5;5;5.74711;2.38643;-2.47411;0.61357;7;1;10;16;3
0.08571;5;5;5.73013;2.38649;-2.73013;0.61351;7;1;10;16;3
0.08571;6;5;5.68381;2.38803;-2.68381;0.61197;7;1;10;15;3
0.08571;5;5;5.67788;2.57;-2.67788;0.5943;7;1;10;16;3
0.08571;5;5;5.68131;2.39962;-2.68131;0.60038;7;1;10;15;3
0.08571;5;5;5.72459;2.39989;-2.72459;0.60011;7;1;10;15;3
0.08571;6;5;5.70484;2.39272;-2.70484;0.60728;7;1;10;16;3
0.08571;5;4;5.73094;2.40258;-2.73094;0.59742;7;1;10;16;3
0.08571;5;5;5.73842;2.40437;-2.73842;0.59563;7;1;10;16;3
0.08571;5;5;5.70866;2.40724;-2.70866;0.59276;7;1;10;16;3
0.08571;5;4;5.71514;2.40549;-2.71514;0.59451;7;1;10;16;3
0.08571;5;4;5.70792;2.40739;-2.70792;0.59261;7;1;10;16;3
0.08571;6;5;5.66038;2.41783;-2.66038;0.58217;7;1;10;16;3
0.08571;5;5;5.65608;2.39708;-2.65608;0.60292;7;1;10;16;3
0.08571;6;5;5.67045;2.41812;-2.67045;0.58188;7;1;10;16;3
0.08571;5;5;5.73603;2.39964;-2.73603;0.60036;7;1;10;16;3
0.08571;6;5;5.68176;2.13;-2.68176;0.5987;7;1;10;16;3
0.08571;5;5;5.74166;2.39646;-2.74166;0.60354;7;1;10;16;3
0.08571;6;5;5.71133;2.39015;-2.71133;0.60985;7;1;10;16;3
0.08571;5;5;5.73544;2.39176;-2.73544;0.60824;7;1;10;16;3
0.08571;5;5;5.51;2.41611;-2.6751;0.58389;7;1;10;16;3
0.08571;6;5;5.68226;2.41609;-2.68226;0.58391;7;1;10;16;3
0.08571;5;5;5.65039;2.41697;-2.65039;0.58303;7;1;10;15;3
0.08571;5;5;5.70797;2.40078;-2.70797;0.59922;7;1;10;16;3
0.08571;6;5;5.74032;2.39533;-2.74032;0.60467;7;1;10;16;3
